date,value,country,source
2009-05-01,2432,Iraq,Platform / tradingeconomics.com
2009-06-01,2433,Iraq,Platform / tradingeconomics.com
2009-07-01,2519,Iraq,Platform / tradingeconomics.com
2009-08-01,2521,Iraq,Platform / tradingeconomics.com
2009-09-01,2480,Iraq,Platform / tradingeconomics.com
2009-10-01,2455,Iraq,Platform / tradingeconomics.com
2009-11-01,2448,Iraq,Platform / tradingeconomics.com
2009-12-01,2489,Iraq,Platform / tradingeconomics.com
2010-01-01,2463,Iraq,Platform / tradingeconomics.com
2010-02-01,2549,Iraq,Platform / tradingeconomics.com
2010-03-01,2380,Iraq,Platform / tradingeconomics.com
2010-04-01,2310,Iraq,Platform / tradingeconomics.com
2010-05-01,2404,Iraq,Platform / tradingeconomics.com
2010-06-01,2356,Iraq,Platform / tradingeconomics.com
2010-07-01,2353,Iraq,Platform / tradingeconomics.com
2010-08-01,2305,Iraq,Platform / tradingeconomics.com
2010-09-01,2414,Iraq,Platform / tradingeconomics.com
2010-10-01,2397,Iraq,Platform / tradingeconomics.com
2010-11-01,2405,Iraq,Platform / tradingeconomics.com
2010-12-01,2466,Iraq,Platform / tradingeconomics.com
2011-01-01,2658,Iraq,Platform / tradingeconomics.com
2011-02-01,2643,Iraq,Platform / tradingeconomics.com
2011-03-01,2637,Iraq,Platform / tradingeconomics.com
2011-04-01,2631,Iraq,Platform / tradingeconomics.com
2011-05-01,2679,Iraq,Platform / tradingeconomics.com
2011-06-01,2702,Iraq,Platform / tradingeconomics.com
2011-07-01,2635,Iraq,Platform / tradingeconomics.com
2011-08-01,2694,Iraq,Platform / tradingeconomics.com
2011-09-01,2694,Iraq,Platform / tradingeconomics.com
2011-10-01,2637,Iraq,Platform / tradingeconomics.com
2011-11-01,2680,Iraq,Platform / tradingeconomics.com
2011-12-01,2703,Iraq,Platform / tradingeconomics.com
2012-01-01,2647,Iraq,Platform / tradingeconomics.com
2012-02-01,2541,Iraq,Platform / tradingeconomics.com
2012-03-01,2691,Iraq,Platform / tradingeconomics.com
2012-04-01,2942,Iraq,Platform / tradingeconomics.com
2012-05-01,2915,Iraq,Platform / tradingeconomics.com
2012-06-01,2951,Iraq,Platform / tradingeconomics.com
2012-07-01,3051,Iraq,Platform / tradingeconomics.com
2012-08-01,3166,Iraq,Platform / tradingeconomics.com
2012-09-01,3235,Iraq,Platform / tradingeconomics.com
2012-10-01,3035,Iraq,Platform / tradingeconomics.com
2012-11-01,3190,Iraq,Platform / tradingeconomics.com
2012-12-01,2953,Iraq,Platform / tradingeconomics.com
2013-01-01,2920,Iraq,Platform / tradingeconomics.com
2013-02-01,2963,Iraq,Platform / tradingeconomics.com
2013-03-01,2988,Iraq,Platform / tradingeconomics.com
2013-04-01,3061,Iraq,Platform / tradingeconomics.com
2013-05-01,3070,Iraq,Platform / tradingeconomics.com
2013-06-01,2994,Iraq,Platform / tradingeconomics.com
2013-07-01,2972,Iraq,Platform / tradingeconomics.com
2013-08-01,3207,Iraq,Platform / tradingeconomics.com
2013-09-01,2833,Iraq,Platform / tradingeconomics.com
2013-10-01,2964,Iraq,Platform / tradingeconomics.com
2013-11-01,2773,Iraq,Platform / tradingeconomics.com
2013-12-01,3002,Iraq,Platform / tradingeconomics.com
2014-01-01,2848,Iraq,Platform / tradingeconomics.com
2014-02-01,3410,Iraq,Platform / tradingeconomics.com
2014-03-01,3089,Iraq,Platform / tradingeconomics.com
2014-04-01,3064,Iraq,Platform / tradingeconomics.com
2014-05-01,3177,Iraq,Platform / tradingeconomics.com
2014-06-01,3111,Iraq,Platform / tradingeconomics.com
2014-07-01,3012,Iraq,Platform / tradingeconomics.com
2014-08-01,3023,Iraq,Platform / tradingeconomics.com
2014-09-01,3198,Iraq,Platform / tradingeconomics.com
2014-10-01,3054,Iraq,Platform / tradingeconomics.com
2014-11-01,3009,Iraq,Platform / tradingeconomics.com
2014-12-01,3356,Iraq,Platform / tradingeconomics.com
2015-01-01,3042,Iraq,Platform / tradingeconomics.com
2015-02-01,2783,Iraq,Platform / tradingeconomics.com
2015-03-01,3339,Iraq,Platform / tradingeconomics.com
2015-04-01,3176,Iraq,Platform / tradingeconomics.com
2015-05-01,3288,Iraq,Platform / tradingeconomics.com
2015-06-01,3591,Iraq,Platform / tradingeconomics.com
2015-07-01,3718,Iraq,Platform / tradingeconomics.com
2015-08-01,3760,Iraq,Platform / tradingeconomics.com
2015-09-01,3755,Iraq,Platform / tradingeconomics.com
2015-10-01,3659,Iraq,Platform / tradingeconomics.com
2015-11-01,3747,Iraq,Platform / tradingeconomics.com
2015-12-01,4130,Iraq,Platform / tradingeconomics.com
2016-01-01,4775,Iraq,Platform / tradingeconomics.com
2016-02-01,4458,Iraq,Platform / tradingeconomics.com
2016-03-01,4553,Iraq,Platform / tradingeconomics.com
2016-04-01,4521,Iraq,Platform / tradingeconomics.com
2016-05-01,4499,Iraq,Platform / tradingeconomics.com
2016-06-01,4549,Iraq,Platform / tradingeconomics.com
2016-07-01,4606,Iraq,Platform / tradingeconomics.com
2016-08-01,4622,Iraq,Platform / tradingeconomics.com
2016-09-01,4774,Iraq,Platform / tradingeconomics.com
2016-10-01,4776,Iraq,Platform / tradingeconomics.com
2016-11-01,4800,Iraq,Platform / tradingeconomics.com
2016-12-01,4830,Iraq,Platform / tradingeconomics.com
2017-01-01,4630,Iraq,Platform / tradingeconomics.com
2017-02-01,4566,Iraq,Platform / tradingeconomics.com
2017-03-01,4568,Iraq,Platform / tradingeconomics.com
2017-04-01,4531,Iraq,Platform / tradingeconomics.com
2017-05-01,4564,Iraq,Platform / tradingeconomics.com
2017-06-01,4550,Iraq,Platform / tradingeconomics.com
2017-07-01,4400,Iraq,Platform / tradingeconomics.com
2017-08-01,4380,Iraq,Platform / tradingeconomics.com
