Group,Condition,Forecaster,IFP_Group,avg_Brier,sd_Brier,n
1,A: no chart,Turker,No TS data,0.4517177130044843,0.49556786749477577,6690
2,A: no chart,Turker,Chart only,0.5467356907894737,0.5589112105289776,304
3,A: no chart,Turker,Chart and model,0.38919170966632266,0.39678592150149455,2907
4,A: no chart,Volunteer,No TS data,0.3052413071895425,0.5397970291206602,510
5,A: no chart,Volunteer,Chart only,0.3567527777777778,0.4590832922864172,18
6,A: no chart,Volunteer,Chart and model,0.2782563868613139,0.34436690412532533,274
7,B: chart only,Volunteer,No TS data,0.25831257344300823,0.48021104444989904,1702
8,B: chart only,Volunteer,Chart only,0.4235122807017544,0.422978889341577,57
9,B: chart only,Volunteer,Chart and model,0.22568221993833504,0.30639511145490256,973
10,C: chart and model,Turker,No TS data,0.4472893985232284,0.4985886083835699,19502
11,C: chart and model,Turker,Chart only,0.557795707070707,0.5181995106281199,990
12,C: chart and model,Turker,Chart and model,0.38317915285240656,0.39683837726304405,8747
13,C: chart and model,Volunteer,No TS data,0.38457094390507013,0.6028232182769232,3090
14,C: chart and model,Volunteer,Chart only,0.5890582191780822,0.56672975764062,73
15,C: chart and model,Volunteer,Chart and model,0.32205125111706884,0.40053620908506704,1119
16,Machine,Machine,Chart and model,0.38592757880432893,0.35826703598159415,1975
